|NAME                      |TYPE    |REFERENCED_NAME             |REFERENCED_TYPE|
|MVIEW_FILTERINSTANCE      |VIEW    |MVIEW$_ADV_FILTERINSTANCE   |TABLE          |
|MVIEW_LOG                 |VIEW    |ALL_USERS                   |SYNONYM        |
|MVIEW_LOG                 |VIEW    |MVIEW$_ADV_LOG              |TABLE          |
|MVIEW_RECOMMENDATIONS     |VIEW    |ALL_USERS                   |SYNONYM        |
|MVIEW_RECOMMENDATIONS     |VIEW    |MVIEW$_ADV_LOG              |TABLE          |
|MVIEW_RECOMMENDATIONS     |VIEW    |MVIEW$_ADV_OUTPUT           |TABLE          |
|MVIEW_WORKLOAD            |VIEW    |ALL_USERS                   |SYNONYM        |
|MVIEW_WORKLOAD            |VIEW    |MVIEW$_ADV_LOG              |TABLE          |
|MVIEW_WORKLOAD            |VIEW    |MVIEW$_ADV_WORKLOAD         |TABLE          |
|PRODUCT_PRIVS             |VIEW    |SQLPLUS_PRODUCT_PROFILE     |TABLE          |
|PRODUCT_USER_PROFILE      |SYNONYM |SQLPLUS_PRODUCT_PROFILE     |TABLE          |
|PUBLICSYN                 |SYNONYM |PUBLICSYN                   |VIEW           |
|SCHEDULER_JOB_ARGS        |VIEW    |ALL_SCHEDULER_JOB_ARGS      |VIEW           |
|SCHEDULER_JOB_ARGS        |VIEW    |ANYDATA                     |TYPE           |
|SCHEDULER_JOB_ARGS        |VIEW    |DBMS_SCHEDULER              |PACKAGE        |
|SCHEDULER_JOB_ARGS        |VIEW    |STANDARD                    |PACKAGE        |
|SCHEDULER_JOB_ARGS_TBL    |TABLE   |ANYDATA                     |TYPE           |
|SCHEDULER_JOB_ARGS_TBL    |TABLE   |STANDARD                    |PACKAGE        |
|SCHEDULER_PROGRAM_ARGS    |VIEW    |ALL_SCHEDULER_PROGRAM_ARGS  |VIEW           |
|SCHEDULER_PROGRAM_ARGS    |VIEW    |ANYDATA                     |TYPE           |
|SCHEDULER_PROGRAM_ARGS    |VIEW    |DBMS_SCHEDULER              |PACKAGE        |
|SCHEDULER_PROGRAM_ARGS    |VIEW    |STANDARD                    |PACKAGE        |
|SCHEDULER_PROGRAM_ARGS_TBL|TABLE   |ANYDATA                     |TYPE           |
|SCHEDULER_PROGRAM_ARGS_TBL|TABLE   |STANDARD                    |PACKAGE        |
|SYSCATALOG                |SYNONYM |SYSCATALOG                  |VIEW           |
|SYSFILES                  |SYNONYM |SYSFILES                    |VIEW           |
|TAB                       |SYNONYM |TAB                         |VIEW           |
|TABQUOTAS                 |SYNONYM |TABQUOTAS                   |VIEW           |
