|OBJECT_NAME                        |OBJECT_TYPE|STATUS|CREATED                |LAST_DDL_TIME          |
|LOGMNR_ATTRIBUTE$                  |TABLE      |VALID |2021-09-28 04:39:54.000|2021-09-28 04:39:54.000|
|LOGMNR_CCOL$                       |TABLE      |VALID |2021-09-28 04:39:55.000|2021-09-28 04:39:55.000|
|LOGMNRC_CONCOL_GG                  |TABLE      |VALID |2021-09-28 04:39:52.000|2021-09-28 04:39:52.000|
|LOGMNRC_CON_GG                     |TABLE      |VALID |2021-09-28 04:39:52.000|2021-09-28 04:39:52.000|
|LOGMNRC_DBNAME_UID_MAP             |TABLE      |VALID |2021-09-28 04:32:49.000|2021-09-28 04:32:49.000|
|LOGMNR_CDEF$                       |TABLE      |VALID |2021-09-28 04:39:55.000|2021-09-28 04:39:55.000|
|LOGMNRC_GSBA                       |TABLE      |VALID |2021-09-28 04:39:52.000|2021-09-28 04:39:52.000|
|LOGMNRC_GSII                       |TABLE      |VALID |2021-09-28 04:39:52.000|2021-09-28 04:39:52.000|
|LOGMNRC_GTCS                       |TABLE      |VALID |2021-09-28 04:39:52.000|2021-09-28 04:39:52.000|
|LOGMNRC_GTLO                       |TABLE      |VALID |2021-09-28 04:39:51.000|2021-09-28 04:39:52.000|
|LOGMNRC_INDCOL_GG                  |TABLE      |VALID |2021-09-28 04:39:52.000|2021-09-28 04:39:52.000|
|LOGMNRC_IND_GG                     |TABLE      |VALID |2021-09-28 04:39:52.000|2021-09-28 04:39:52.000|
|LOGMNR_COL$                        |TABLE      |VALID |2021-09-28 04:39:53.000|2021-09-28 04:39:53.000|
|LOGMNR_COLTYPE$                    |TABLE      |VALID |2021-09-28 04:39:54.000|2021-09-28 04:39:54.000|
|LOGMNR_CON$                        |TABLE      |VALID |2021-09-28 04:39:55.000|2021-09-28 04:39:55.000|
|LOGMNR_CONTAINER$                  |TABLE      |VALID |2021-09-28 04:39:55.000|2021-09-28 04:39:55.000|
|LOGMNRC_SEQ_GG                     |TABLE      |VALID |2021-09-28 04:39:52.000|2021-09-28 04:39:52.000|
|LOGMNRC_SHARD_TS                   |TABLE      |VALID |2021-09-28 04:39:52.000|2021-09-28 04:39:52.000|
|LOGMNRC_TS                         |TABLE      |VALID |2021-09-28 04:39:52.000|2021-09-28 04:39:52.000|
|LOGMNRC_TSPART                     |TABLE      |VALID |2021-09-28 04:39:52.000|2021-09-28 04:39:52.000|
|LOGMNRC_USER                       |TABLE      |VALID |2021-09-28 04:39:53.000|2021-09-28 04:39:53.000|
|LOGMNR_DICTIONARY$                 |TABLE      |VALID |2021-09-28 04:39:53.000|2021-09-28 04:39:53.000|
|LOGMNR_DICTSTATE$                  |TABLE      |VALID |2021-09-28 04:39:51.000|2021-09-28 04:39:51.000|
|LOGMNR_DID$                        |TABLE      |VALID |2021-09-28 04:32:49.000|2021-09-28 04:32:49.000|
|LOGMNR_ENC$                        |TABLE      |VALID |2021-09-28 04:39:56.000|2021-09-28 04:39:56.000|
|LOGMNR_ERROR$                      |TABLE      |VALID |2021-09-28 04:32:50.000|2021-09-28 04:32:50.000|
