|ID_EXPEDIENTE|NUM_EXPEDIENTE        |ESTADO|ESTADO_DESCRIPCION|
|1.439        |SDRERC_EXP_2026_000032|56    |Registrado        |
|1.408        |SDRERC_EXP_2026_000002|56    |Registrado        |
|1.440        |SDRERC_EXP_2026_000033|56    |Registrado        |
|1.441        |SDRERC_EXP_2026_000034|56    |Registrado        |
|1.442        |SDRERC_EXP_2026_000035|56    |Registrado        |
|1.443        |SDRERC_EXP_2026_000036|56    |Registrado        |
|1.444        |SDRERC_EXP_2026_000037|56    |Registrado        |
|1.445        |SDRERC_EXP_2026_000038|56    |Registrado        |
|1.446        |SDRERC_EXP_2026_000039|56    |Registrado        |
|1.447        |SDRERC_EXP_2026_000040|56    |Registrado        |
|1.448        |SDRERC_EXP_2026_000041|56    |Registrado        |
|1.449        |SDRERC_EXP_2026_000042|56    |Registrado        |
|1.450        |SDRERC_EXP_2026_000043|56    |Registrado        |
|1.451        |SDRERC_EXP_2026_000044|56    |Registrado        |
|1.452        |SDRERC_EXP_2026_000045|56    |Registrado        |
|1.453        |SDRERC_EXP_2026_000046|56    |Registrado        |
|1.454        |                      |56    |Registrado        |
|1.455        |SDRERC_EXP_2026_000047|56    |Registrado        |
|1.456        |SDRERC_EXP_2026_000048|56    |Registrado        |
|1.457        |SDRERC_EXP_2026_000049|56    |Registrado        |
|1.458        |SDRERC_EXP_2026_000050|56    |Registrado        |
|1.459        |SDRERC_EXP_2026_000051|56    |Registrado        |
|1.460        |SDRERC_EXP_2026_000052|56    |Registrado        |
|1.461        |SDRERC_EXP_2026_000053|56    |Registrado        |
|1.462        |SDRERC_EXP_2026_000054|56    |Registrado        |
|1.463        |SDRERC_EXP_2026_000055|56    |Registrado        |
|1.464        |SDRERC_EXP_2026_000056|56    |Registrado        |
|1.465        |SDRERC_EXP_2026_000057|56    |Registrado        |
|1.466        |SDRERC_EXP_2026_000058|56    |Registrado        |
|1.467        |SDRERC_EXP_2026_000059|56    |Registrado        |
|1.468        |SDRERC_EXP_2026_000060|56    |Registrado        |
|1.469        |SDRERC_EXP_2026_000061|56    |Registrado        |
|1.470        |SDRERC_EXP_2026_000062|56    |Registrado        |
|1.471        |SDRERC_EXP_2026_000063|56    |Registrado        |
|1.472        |SDRERC_EXP_2026_000064|56    |Registrado        |
|1.473        |SDRERC_EXP_2026_000065|56    |Registrado        |
|1.474        |SDRERC_EXP_2026_000066|56    |Registrado        |
|1.475        |SDRERC_EXP_2026_000067|56    |Registrado        |
|1.476        |SDRERC_EXP_2026_000068|56    |Registrado        |
|1.477        |SDRERC_EXP_2026_000069|56    |Registrado        |
|1.478        |SDRERC_EXP_2026_000070|56    |Registrado        |
|1.479        |SDRERC_EXP_2026_000071|56    |Registrado        |
|1.480        |SDRERC_EXP_2026_000072|56    |Registrado        |
|1.481        |SDRERC_EXP_2026_000073|56    |Registrado        |
|1.482        |SDRERC_EXP_2026_000074|56    |Registrado        |
|1.483        |SDRERC_EXP_2026_000075|56    |Registrado        |
|1.484        |SDRERC_EXP_2026_000076|56    |Registrado        |
|1.485        |SDRERC_EXP_2026_000077|56    |Registrado        |
|1.486        |SDRERC_EXP_2026_000078|56    |Registrado        |
|1.487        |SDRERC_EXP_2026_000079|56    |Registrado        |
|1.488        |SDRERC_EXP_2026_000080|56    |Registrado        |
|1.489        |SDRERC_EXP_2026_000081|56    |Registrado        |
|1.490        |SDRERC_EXP_2026_000082|56    |Registrado        |
|1.491        |SDRERC_EXP_2026_000083|56    |Registrado        |
|1.492        |SDRERC_EXP_2026_000084|56    |Registrado        |
|1.493        |SDRERC_EXP_2026_000085|56    |Registrado        |
|1.494        |SDRERC_EXP_2026_000086|56    |Registrado        |
|1.495        |SDRERC_EXP_2026_000087|56    |Registrado        |
|1.496        |SDRERC_EXP_2026_000088|56    |Registrado        |
|1.497        |SDRERC_EXP_2026_000089|56    |Registrado        |
|1.498        |SDRERC_EXP_2026_000090|56    |Registrado        |
|1.499        |SDRERC_EXP_2026_000091|56    |Registrado        |
|1.500        |SDRERC_EXP_2026_000092|56    |Registrado        |
|1.501        |SDRERC_EXP_2026_000093|56    |Registrado        |
|1.502        |SDRERC_EXP_2026_000094|56    |Registrado        |
|1.503        |SDRERC_EXP_2026_000095|56    |Registrado        |
|1.504        |SDRERC_EXP_2026_000096|56    |Registrado        |
|1.505        |SDRERC_EXP_2026_000097|56    |Registrado        |
|1.506        |SDRERC_EXP_2026_000098|56    |Registrado        |
|1.507        |SDRERC_EXP_2026_000099|56    |Registrado        |
|1.508        |SDRERC_EXP_2026_000100|56    |Registrado        |
|1.509        |SDRERC_EXP_2026_000101|56    |Registrado        |
|1.510        |SDRERC_EXP_2026_000102|56    |Registrado        |
|1.511        |SDRERC_EXP_2026_000103|56    |Registrado        |
|1.512        |SDRERC_EXP_2026_000104|56    |Registrado        |
|1.516        |SDRERC_EXP_2026_000106|56    |Registrado        |
|1.517        |SDRERC_EXP_2026_000107|56    |Registrado        |
|1.518        |SDRERC_EXP_2026_000108|56    |Registrado        |
|1.519        |SDRERC_EXP_2026_000109|56    |Registrado        |
|1.520        |                      |56    |Registrado        |
